title,year,venue,link,cluster,contribution,relevance,threat,why
LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,2023,arXiv,https://arxiv.org/abs/2304.11477,LLM plus classical planning,"translates natural-language tasks into PDDL, delegates planning to a symbolic solver, and translates plans back",5,high,Closest architectural ancestor; it does not study candidate-pool selection pressure over verifier-compatible loopholes.
ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR/arXiv,https://arxiv.org/abs/2210.03629,LLM agents and tool use,interleaves language reasoning traces with environment actions,4,medium,"Motivates language-action loops, but not symbolic checker selection or finite-N loophole concentration."
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2022,CoRL/arXiv,https://arxiv.org/abs/2204.01691,language-conditioned robotics,combines language-model scores with affordance values for robot skill selection,4,medium,"Uses an external feasibility signal, but the paper's central issue is not proxy-ranked selection over feasible-but-semantically-wrong plans."
Inner Monologue: Embodied Reasoning through Planning with Language Models,2022,CoRL/arXiv,https://arxiv.org/abs/2207.05608,language-conditioned robotics,feeds environment feedback into language-model planning loops,4,medium,"Adds feedback, but does not isolate proxy-selected semantic-symbolic mismatch as N grows."
Code as Policies: Language Model Programs for Embodied Control,2023,ICRA/arXiv,https://arxiv.org/abs/2209.07753,programmatic planning,represents robot policies as code generated by LLMs,3,low,"Program synthesis can contain execution mismatch, but the selection law and symbolic loopholes here are different."
Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,arXiv,https://arxiv.org/abs/2305.16291,LLM agents and tool use,"builds an autonomous Minecraft agent with curriculum, skill library, and iterative prompting",3,low,"Emphasizes open-ended skill acquisition, not verifier-induced proxy-selection collapse."
Reflexion: Language Agents with Verbal Reinforcement Learning,2023,NeurIPS/arXiv,https://arxiv.org/abs/2303.11366,self-refinement and feedback,uses verbal feedback memories to improve language agents across attempts,3,medium,A plausible repair family; it does not give the semantic-symbolic loophole diagnostic or law.
Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,NeurIPS/arXiv,https://arxiv.org/abs/2305.10601,inference-time search,searches over language reasoning states using evaluation and branching,4,medium,Relevant candidate-search ancestor; it is not about symbolic planners or execution-validity collapse.
Self-Consistency Improves Chain of Thought Reasoning in Language Models,2023,ICLR/arXiv,https://arxiv.org/abs/2203.11171,inference-time search,samples multiple reasoning paths and marginalizes over answers,3,medium,Canonical sample-more inference; it lacks an external symbolic verifier and hidden executor.
Toolformer: Language Models Can Teach Themselves to Use Tools,2023,NeurIPS/arXiv,https://arxiv.org/abs/2302.04761,tool use,self-supervises API call insertion for language models,2,low,Tool-use ancestor but not a planner-verifier selection study.
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",2022,arXiv,https://arxiv.org/abs/2205.00445,neuro-symbolic systems,proposes routing LLMs to symbolic and external modules,3,low,"Broad architecture motivation, not a boundary-selection mechanism paper."
WebGPT: Browser-assisted question-answering with human feedback,2022,arXiv,https://arxiv.org/abs/2112.09332,tool use and verification,uses browsing tools and human preference modeling for answer selection,2,low,"Shows tool-mediated language systems, but the verifier and executor are not symbolic planners."
Training language models to follow instructions with human feedback,2022,NeurIPS/arXiv,https://arxiv.org/abs/2203.02155,reward models and selection,trains instruction-following models with human preference signals,2,low,"Important for reward models, but it is not an execution-grounded planner hybrid study."
Constitutional AI: Harmlessness from AI Feedback,2022,arXiv,https://arxiv.org/abs/2212.08073,AI feedback and verification,uses model-generated critique and preference learning for harmless assistants,2,low,Verification/critique lineage; no symbolic plan-checker or physical executor mismatch.
Constrained Markov Decision Processes,1999,CRC Press,https://doi.org/10.1201/9781315140223,constrained decision making,formalizes optimization under constraints in MDPs,3,medium,"Foundational constraints, but does not address learned language candidate generation or checker loopholes."
Reward Tampering Problems and Solutions in Reinforcement Learning: A Causal Influence Diagram Perspective,2021,Synthese/arXiv,https://arxiv.org/abs/1908.04734,reward hacking and specification gaming,analyzes agents that manipulate reward mechanisms,4,medium,Specification-gaming cousin; this project is about inference-time selection among plan candidates.
Learning to Plan with Natural Language,2023,arXiv,http://arxiv.org/abs/2304.10464v4,planning and reasoning,Large Language Models (LLMs) have shown remarkable performance in various basic natural language tasks,2,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
iCLP: Large Language Model Reasoning with Implicit Cognition Latent Planning,2025,arXiv,http://arxiv.org/abs/2512.24014v1,planning and reasoning,"Large language models (LLMs), when guided by explicit textual plans, can perform reliable step-by-step reasoning during problem-solving",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Large Language Model Evaluation Via Multi AI Agents: Preliminary results,2024,arXiv,http://arxiv.org/abs/2404.01023v1,LLM agents and tool use,"As Large Language Models (LLMs) have become integral to both research and daily operations, rigorous evaluation is crucial",4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
"On the Planning, Search, and Memorization Capabilities of Large Language Models",2023,arXiv,http://arxiv.org/abs/2309.01868v1,inference-time search,"The rapid advancement of large language models, such as the Generative Pre-trained Transformer (GPT) series, has had significant implications across various disciplines",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
CPS-LLM: Large Language Model based Safe Usage Plan Generator for Human-in-the-Loop Human-in-the-Plant Cyber-Physical System,2024,arXiv,http://arxiv.org/abs/2405.11458v1,language-conditioned robotics,"We explore the usage of large language models (LLM) in human-in-the-loop human-in-the-plant cyber-physical systems (CPS) to translate a high-level prompt into a personalized plan of actions, and subsequently co",2,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Large language model empowered participatory urban planning,2024,arXiv,http://arxiv.org/abs/2402.01698v1,LLM agents and tool use,Participatory urban planning is the mainstream of modern urban planning and involves the active engagement of different stakeholders,5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
SafeRun: Enabling Determinism in LLM Planning for Running,2026,arXiv,http://arxiv.org/abs/2606.09027v1,planning and reasoning,Large Language Models enable flexible natural-language planning but remain unreliable in determinism-critical domains due to their probabilistic nature,3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Monte Carlo Planning with Large Language Model for Text-Based Game Agents,2025,arXiv,http://arxiv.org/abs/2504.16855v1,LLM agents and tool use,Text-based games provide valuable environments for language-based autonomous agents,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Compositional Foundation Models for Hierarchical Planning,2023,arXiv,http://arxiv.org/abs/2309.08587v2,language-conditioned robotics,"To make effective decisions in novel environments with long-horizon goals, it is crucial to engage in hierarchical reasoning across spatial and temporal scales",4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Self Generated Wargame AI: Double Layer Agent Task Planning Based on Large Language Model,2023,arXiv,http://arxiv.org/abs/2312.01090v2,LLM agents and tool use,The large language models represented by ChatGPT have a disruptive impact on the field of artificial intelligence,5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Large Language Models as Planning Domain Generators,2024,arXiv,http://arxiv.org/abs/2405.06650v1,LLM plus classical planning,Developing domain models is one of the few remaining places that require manual human labor in AI planning,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
A Survey on Large Language Models for Automated Planning,2025,arXiv,http://arxiv.org/abs/2502.12435v1,inference-time search,The planning ability of Large Language Models (LLMs) has garnered increasing attention in recent years due to their remarkable capacity for multi-step reasoning and their ability to generalize across a wide ran,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
A Prompt-driven Task Planning Method for Multi-drones based on Large Language Model,2024,arXiv,http://arxiv.org/abs/2406.00006v1,planning and reasoning,"With the rapid development of drone technology, the application of multi-drones is becoming increasingly widespread in various fields",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Surgical Action Planning with Large Language Models,2025,arXiv,http://arxiv.org/abs/2503.18296v2,language-conditioned robotics,"In robot-assisted minimally invasive surgery, we introduce the Surgical Action Planning (SAP) task, which generates future action plans from visual inputs to address the absence of intraoperative predictive pla",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Optimal Scene Graph Planning with Large Language Model Guidance,2023,arXiv,http://arxiv.org/abs/2309.09182v2,language-conditioned robotics,"Recent advances in metric, semantic, and topological mapping have equipped autonomous robots with semantic concept grounding capabilities to interpret natural language tasks",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
NL2Plan: Robust LLM-Driven Planning from Minimal Text Descriptions,2024,arXiv,http://arxiv.org/abs/2405.04215v2,LLM plus classical planning,"Classical planners are powerful systems, but modeling tasks in input formats such as PDDL is tedious and error-prone",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
"On The Planning Abilities of OpenAI's o1 Models: Feasibility, Optimality, and Generalizability",2024,arXiv,http://arxiv.org/abs/2409.19924v4,inference-time search,"Recent advancements in Large Language Models (LLMs) have showcased their ability to perform complex reasoning tasks, but their effectiveness in planning remains underexplored",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Emergent Response Planning in LLMs,2025,arXiv,http://arxiv.org/abs/2502.06258v3,planning and reasoning,"In this work, we argue that large language models (LLMs), though trained to predict only the next token, exhibit emergent planning behaviors: $\textbf{their hidden representations encode future outputs beyond t",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
A Roadmap to Guide the Integration of LLMs in Hierarchical Planning,2025,arXiv,http://arxiv.org/abs/2501.08068v2,planning and reasoning,"Recent advances in Large Language Models (LLMs) are fostering their integration into several reasoning-related fields, including Automated Planning (AP)",4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
AgentGen: Enhancing Planning Abilities for Large Language Model based Agent via Environment and Task Generation,2024,arXiv,http://arxiv.org/abs/2408.00764v3,LLM agents and tool use,Large Language Model-based agents have garnered significant attention and are becoming increasingly popular,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Automatic Robot Task Planning by Integrating Large Language Model with Genetic Programming,2025,arXiv,http://arxiv.org/abs/2502.07772v1,language-conditioned robotics,"Accurate task planning is critical for controlling autonomous systems, such as robots, drones, and self-driving vehicles",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
AdaPlanBench: Evaluating Adaptive Planning in Large Language Model Agents under World and User Constraints,2026,arXiv,http://arxiv.org/abs/2606.05622v1,LLM agents and tool use,"Planning for real-world problems by language models often involves both world and user constraints, which may not be fully specified upfront and are progressively disclosed through interaction",4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Unlocking the Future: Exploring Look-Ahead Planning Mechanistic Interpretability in Large Language Models,2024,arXiv,http://arxiv.org/abs/2406.16033v1,language-conditioned robotics,"Planning, as the core module of agents, is crucial in various fields such as embodied agents, web navigation, and tool using",4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Exploring and Benchmarking the Planning Capabilities of Large Language Models,2024,arXiv,http://arxiv.org/abs/2406.13094v2,LLM plus classical planning,Classical and natural language planning tasks remain a difficult domain for modern large language models (LLMs),4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Self-planning Code Generation with Large Language Models,2023,arXiv,http://arxiv.org/abs/2303.06689v5,planning and reasoning,"Although large language models (LLMs) have demonstrated impressive ability in code generation, they are still struggling to address the complicated intent provided by humans",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Bootstrapping Object-level Planning with Large Language Models,2024,arXiv,http://arxiv.org/abs/2409.12262v4,LLM plus classical planning,"We introduce a new method that extracts knowledge from a large language model (LLM) to produce object-level plans, which describe high-level changes to object state, and uses them to bootstrap task and motion p",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
TP-RAG: Benchmarking Retrieval-Augmented Large Language Model Agents for Spatiotemporal-Aware Travel Planning,2025,arXiv,http://arxiv.org/abs/2504.08694v1,LLM agents and tool use,"Large language models (LLMs) have shown promise in automating travel planning, yet they often fall short in addressing nuanced spatiotemporal rationality",4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
iPLAN: Redefining Indoor Wireless Network Planning Through Large Language Models,2025,arXiv,http://arxiv.org/abs/2507.19096v1,LLM agents and tool use,Efficient indoor wireless network (IWN) planning is crucial for providing high-quality 5G in-building services,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Evaluating Cognitive Maps and Planning in Large Language Models with CogEval,2023,arXiv,http://arxiv.org/abs/2309.15129v1,planning and reasoning,Recently an influx of studies claim emergent cognitive abilities in large language models (LLMs),3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Large Language Model for Participatory Urban Planning,2024,arXiv,http://arxiv.org/abs/2402.17161v1,LLM agents and tool use,Participatory urban planning is the mainstream of modern urban planning that involves the active engagement of residents,5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
HBTP: Heuristic Behavior Tree Planning with Large Language Model Reasoning,2024,arXiv,http://arxiv.org/abs/2406.00965v5,language-conditioned robotics,"Behavior Trees (BTs) are increasingly becoming a popular control structure in robotics due to their modularity, reactivity, and robustness",3,low,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
"Chasing Progress, Not Perfection: Revisiting Strategies for End-to-End LLM Plan Generation",2024,arXiv,http://arxiv.org/abs/2412.10675v1,reward models and verification,The capability of Large Language Models (LLMs) to plan remains a topic of debate,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
"Decompose, Plan in Parallel, and Merge: A Novel Paradigm for Large Language Models based Planning with Multiple Constraints",2025,arXiv,http://arxiv.org/abs/2506.02683v1,LLM agents and tool use,"Despite significant advances in Large Language Models (LLMs), planning tasks still present challenges for LLM-based agents",5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Improving Large Language Model Planning with Action Sequence Similarity,2025,arXiv,http://arxiv.org/abs/2505.01009v1,LLM plus classical planning,Planning is essential for artificial intelligence systems to look ahead and proactively determine a course of actions to reach objectives in the virtual and real world,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Planning with Large Language Models for Code Generation,2023,arXiv,http://arxiv.org/abs/2303.05510v1,inference-time search,Existing large language model-based code generation pipelines typically use beam search or sampling algorithms during the decoding process,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Novelty Adaptation Through Hybrid Large Language Model (LLM)-Symbolic Planning and LLM-guided Reinforcement Learning,2026,arXiv,http://arxiv.org/abs/2603.11351v1,LLM plus classical planning,"In dynamic open-world environments, autonomous agents often encounter novelties that hinder their ability to find plans to achieve their goals",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
PSALM-V: Automating Symbolic Planning in Interactive Visual Environments with Large Language Models,2025,arXiv,http://arxiv.org/abs/2506.20097v1,LLM plus classical planning,"We propose PSALM-V, the first autonomous neuro-symbolic learning system able to induce symbolic action semantics (i.e., pre- and post-conditions) in visual environments through interaction",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Teaching LLMs to Plan: Logical Chain-of-Thought Instruction Tuning for Symbolic Planning,2025,arXiv,http://arxiv.org/abs/2509.13351v1,LLM plus classical planning,"Large language models (LLMs) have demonstrated impressive capabilities across diverse tasks, yet their ability to perform structured symbolic planning remains limited, particularly in domains requiring formal r",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Agent+P: Guiding UI Agents via Symbolic Planning,2025,arXiv,http://arxiv.org/abs/2510.06042v2,LLM plus classical planning,Large Language Model (LLM)-based UI agents show great promise for UI automation but often hallucinate in long-horizon tasks due to their lack of understanding of the global UI transition structure,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Aligning LLM+PDDL Symbolic Plans with Human Objective Specifications through Evolutionary Algorithm Guidance,2024,arXiv,http://arxiv.org/abs/2412.00300v2,LLM plus classical planning,"Automated planning using a symbolic planning language, such as PDDL, is a general approach to producing optimal plans to achieve a stated goal",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Bounding Boxes as Goals: Language-Conditioned Grasping via Neuro-Symbolic Planning,2026,arXiv,http://arxiv.org/abs/2606.12910v1,LLM plus classical planning,"For robotics to be effectively integrated into household or industrial environments, machines must adapt to natural-language prompts in real time",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Planning in the Dark: LLM-Symbolic Planning Pipeline without Experts,2024,arXiv,http://arxiv.org/abs/2409.15915v1,LLM plus classical planning,"Large Language Models (LLMs) have shown promise in solving natural language-described planning tasks, but their direct use often leads to inconsistent reasoning and hallucination",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Part-X-MLLM: Part-aware 3D Multimodal Large Language Model,2025,arXiv,http://arxiv.org/abs/2511.13647v1,LLM plus classical planning,"We introduce Part-X-MLLM, a native 3D multimodal large language model that unifies diverse 3D tasks by formulating them as programs in a structured, executable grammar",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Planning with Vision-Language Models and a Use Case in Robot-Assisted Teaching,2025,arXiv,http://arxiv.org/abs/2501.17665v1,LLM plus classical planning,"Automating the generation of Planning Domain Definition Language (PDDL) with Large Language Model (LLM) opens new research topic in AI planning, particularly for complex real-world tasks",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Maritime Mission Planning for Unmanned Surface Vessel using Large Language Model,2025,arXiv,http://arxiv.org/abs/2503.12065v1,LLM plus classical planning,Unmanned Surface Vessels (USVs) are essential for various maritime operations,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Adaptive Domain Modeling with Language Models: A Multi-Agent Approach to Task Planning,2025,arXiv,http://arxiv.org/abs/2506.19592v2,LLM plus classical planning,"We introduce TAPAS (Task-based Adaptation and Planning using AgentS), a multi-agent framework that integrates Large Language Models (LLMs) with symbolic planning to solve complex tasks without the need for manu",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
ViPlan: A Benchmark for Visual Planning with Symbolic Predicates and Vision-Language Models,2025,arXiv,http://arxiv.org/abs/2505.13180v2,LLM plus classical planning,"Integrating Large Language Models with symbolic planners is a promising direction for obtaining verifiable and grounded plans, with recent work extending this idea to visual domains using Vision-Language Models",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
