title,year,venue,link,cluster,contribution,relevance,threat,why
Frontier Large Language Models Rival State-of-the-Art Planners,2025,arXiv,http://arxiv.org/abs/2511.09378v2,LLM plus classical planning,A series of influential studies established that large language models cannot reliably solve even simple planning tasks,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Learning to Reason over Scene Graphs: A Case Study of Finetuning GPT-2 into a Robot Language Model for Grounded Task Planning,2023,arXiv,http://arxiv.org/abs/2305.07716v1,LLM plus classical planning,Long-horizon task planning is essential for the development of intelligent assistive and service robots,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
From Sands to Mansions: Towards Automated Cyberattack Emulation with Classical Planning and Large Language Models,2024,arXiv,http://arxiv.org/abs/2407.16928v4,LLM plus classical planning,Evolving attacker capabilities demand realistic and continuously updated cyberattack emulation for threat-informed defense and security benchmarking,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
AutoGPT+P: Affordance-based Task Planning with Large Language Models,2024,arXiv,http://arxiv.org/abs/2402.10778v2,LLM plus classical planning,Recent advances in task planning leverage Large Language Models (LLMs) to improve generalizability by combining such models with classical planning algorithms to address their inherent limitations in reasoning ,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Symbolic Planning and Code Generation for Grounded Dialogue,2023,arXiv,http://arxiv.org/abs/2310.17140v1,LLM plus classical planning,Large language models (LLMs) excel at processing and generating both text and code,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Enhancing Cognitive Robotics with Commonsense through LLM-Generated Preconditions and Subgoals,2025,arXiv,http://arxiv.org/abs/2512.00069v1,LLM plus classical planning,Robots often fail at everyday tasks because instructions skip commonsense details like hidden preconditions and small subgoals,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
SYMDIREC: A Neuro-Symbolic Divide-Retrieve-Conquer Framework for Enhanced RTL Synthesis and Summarization,2026,arXiv,http://arxiv.org/abs/2603.17208v1,LLM plus classical planning,"Register-Transfer Level (RTL) synthesis and summarization are central to hardware design automation but remain challenging for Large Language Models (LLMs) due to rigid HDL syntax, limited supervision, and weak",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Self-CriTeach: LLM Self-Teaching and Self-Critiquing for Improving Robotic Planning via Automated Domain Generation,2025,arXiv,http://arxiv.org/abs/2509.21543v3,LLM plus classical planning,"Large Language Models (LLMs) have shown strong promise for robotic task planning, particularly through the automatic generation of symbolic planning domains",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Closed-Loop Verbal Reinforcement Learning for Task-Level Robotic Planning,2026,arXiv,http://arxiv.org/abs/2603.22169v1,LLM plus classical planning,We propose a new Verbal Reinforcement Learning (VRL) framework for interpretable task-level planning in mobile robotic systems operating under execution uncertainty,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Meta-Optimization and Program Search using Language Models for Task and Motion Planning,2025,arXiv,http://arxiv.org/abs/2505.03725v2,LLM plus classical planning,Intelligent interaction with the real world requires robotic agents to jointly reason over high-level plans and low-level controls,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Constrained Natural Language Action Planning for Resilient Embodied Systems,2025,arXiv,http://arxiv.org/abs/2510.06357v1,LLM plus classical planning,Replicating human-level intelligence in the execution of embodied tasks remains challenging due to the unconstrained nature of real-world environments,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
AAAI Workshop on AI Planning for Cyber-Physical Systems -- CAIPI24,2024,arXiv,http://arxiv.org/abs/2410.07245v1,LLM plus classical planning,"The workshop 'AI-based Planning for Cyber-Physical Systems', which took place on February 26, 2024, as part of the 38th Annual AAAI Conference on Artificial Intelligence in Vancouver, Canada, brought together r",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
CoMIC: Collaborative Memory and Insights Circulation for Long-Horizon LLM Agents in Cloud-Edge Systems,2026,arXiv,http://arxiv.org/abs/2606.00756v1,LLM plus classical planning,"Deploying lightweight Large Language Model (LLM) agents on edge servers can reduce latency and move agentic services closer to users, but resource-constrained edge models often struggle with long-horizon tasks ",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Scaling LLM Planning: NL2FLOW for Parametric Problem Generation and Rigorous Evaluation,2025,arXiv,http://arxiv.org/abs/2507.02253v6,LLM plus classical planning,"Robust workflow composition is critical for effective agent performance, yet progress in Large Language Model (LLM) planning and reasoning is hindered by a scarcity of scalable evaluation data",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
LLM-VLM Fusion Framework for Autonomous Maritime Port Inspection using a Heterogeneous UAV-USV System,2026,arXiv,http://arxiv.org/abs/2601.13096v1,LLM plus classical planning,"Maritime port inspection plays a critical role in ensuring safety, regulatory compliance, and operational efficiency in complex maritime environments",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Plansformer: Generating Symbolic Plans using Transformers,2022,arXiv,http://arxiv.org/abs/2212.08681v1,language-conditioned robotics,"Large Language Models (LLMs) have been the subject of active research, significantly advancing the field of Natural Language Processing (NLP)",5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
An LLM-Based Assistance System for Intuitive and Flexible Capability-Based Planning,2026,arXiv,http://arxiv.org/abs/2605.28666v1,LLM plus classical planning,"In modern industry, dynamic environments and the complexity of modular and reconfigurable resources require automated planning of process sequences",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
KGLAMP: Knowledge Graph-guided Language model for Adaptive Multi-robot Planning and Replanning,2026,arXiv,http://arxiv.org/abs/2602.04129v2,LLM plus classical planning,Heterogeneous multi-robot systems are increasingly used in long-horizon missions requiring coordinated planning across diverse capabilities,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
LLM-assisted Semantic Option Discovery for Facilitating Adaptive Deep Reinforcement Learning,2026,arXiv,http://arxiv.org/abs/2603.01488v2,LLM plus classical planning,"Despite achieving remarkable success in complex tasks, Deep Reinforcement Learning (DRL) is still suffering from critical issues in practical applications, such as low data efficiency, lack of interpretability,",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Optimizing LLM Prompt Engineering with DSPy Based Declarative Learning,2026,arXiv,http://arxiv.org/abs/2604.04869v1,LLM plus classical planning,"Large Language Models (LLMs) have shown strong performance across a wide range of natural language processing tasks; however, their effectiveness is highly dependent on prompt design, structure, and embedded re",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Optimizing Prompt Sequences using Monte Carlo Tree Search for LLM-Based Optimization,2025,arXiv,http://arxiv.org/abs/2508.05995v1,LLM plus classical planning,"Large language models (LLMs) have demonstrated remarkable capabilities in code generation and structured reasoning; however, their performance often degrades on complex tasks that require consistent multi-step ",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Language-Augmented Symbolic Planner for Open-World Task Planning,2024,arXiv,http://arxiv.org/abs/2407.09792v1,LLM plus classical planning,Enabling robotic agents to perform complex long-horizon tasks has been a long-standing goal in robotics and artificial intelligence (AI),5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
HeroBench: A Benchmark for Long-Horizon Planning and Structured Reasoning in Virtual Worlds,2025,arXiv,http://arxiv.org/abs/2508.12782v2,LLM plus classical planning,"Large language models (LLMs) perform well on step-by-step reasoning benchmarks such as mathematics and code generation, yet their ability to carry out robust long-horizon planning under realistic constraints re",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Real-World Cooking Robot System from Recipes Based on Food State Recognition Using Foundation Models and PDDL,2024,arXiv,http://arxiv.org/abs/2410.02874v2,LLM plus classical planning,"Although there is a growing demand for cooking behaviours as one of the expected tasks for robots, a series of cooking behaviours based on new recipe descriptions by robots in the real world has not yet been re",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Language Models For Generalised PDDL Planning: Synthesising Sound and Programmatic Policies,2025,arXiv,http://arxiv.org/abs/2508.18507v1,LLM plus classical planning,We study the usage of language models (LMs) for planning over world models specified in the Planning Domain Definition Language (PDDL),5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Leveraging Environment Interaction for Automated PDDL Translation and Planning with Large Language Models,2024,arXiv,http://arxiv.org/abs/2407.12979v2,LLM plus classical planning,"Large Language Models (LLMs) have shown remarkable performance in various natural language tasks, but they often struggle with planning problems that require structured reasoning",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Generating consistent PDDL domains with Large Language Models,2024,arXiv,http://arxiv.org/abs/2404.07751v1,LLM plus classical planning,Large Language Models (LLMs) are capable of transforming natural language domain descriptions into plausibly looking PDDL markup,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
GenePlan: Evolving Better Generalized PDDL Plans using Large Language Models,2026,arXiv,http://arxiv.org/abs/2603.09481v1,LLM plus classical planning,"We present GenePlan (GENeralized Evolutionary Planner), a novel framework that leverages large language model (LLM) assisted evolutionary algorithms to generate domain-dependent generalized planners for classic",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Generalized Planning in PDDL Domains with Pretrained Large Language Models,2023,arXiv,http://arxiv.org/abs/2305.11014v2,LLM plus classical planning,"Recent work has considered whether large language models (LLMs) can function as planners: given a task, generate a plan",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,2023,arXiv,http://arxiv.org/abs/2311.09830v4,LLM plus classical planning,Large language models (LLMs) have revolutionized a large variety of NLP tasks,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
An Extensive Evaluation of PDDL Capabilities in off-the-shelf LLMs,2025,arXiv,http://arxiv.org/abs/2502.20175v1,LLM plus classical planning,"In recent advancements, large language models (LLMs) have exhibited proficiency in code generation and chain-of-thought reasoning, laying the groundwork for tackling automatic formal planning tasks",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
PDDL-Mind: Large Language Models are Capable on Belief Reasoning with Reliable State Tracking,2026,arXiv,http://arxiv.org/abs/2604.17819v1,LLM plus classical planning,"Large language models (LLMs) perform substantially below human level on existing theory-of-mind (ToM) benchmarks, even when augmented with chain-of-thought prompting or probabilistic belief updates",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
SPAR: Scalable LLM-based PDDL Domain Generation for Aerial Robotics,2025,arXiv,http://arxiv.org/abs/2509.13691v1,LLM plus classical planning,"We investigate the problem of automatic domain generation for the Planning Domain Definition Language (PDDL) using Large Language Models (LLMs), with a particular focus on unmanned aerial vehicle (UAV) tasks",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
End-to-end PDDL Planning with Hardcoded and Dynamic Agents,2025,arXiv,http://arxiv.org/abs/2512.09629v2,LLM plus classical planning,We present an end-to-end framework for planning supported by verifiers,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Agentic LLM Planning via Step-Wise PDDL Simulation: An Empirical Characterisation,2026,arXiv,http://arxiv.org/abs/2603.06064v1,LLM plus classical planning,"Task planning, the problem of sequencing actions to reach a goal from an initial state, is a core capability requirement for autonomous robotic systems",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
PIP-LLM: Integrating PDDL-Integer Programming with LLMs for Coordinating Multi-Robot Teams Using Natural Language,2025,arXiv,http://arxiv.org/abs/2510.22784v1,LLM plus classical planning,"Enabling robot teams to execute natural language commands requires translating high-level instructions into feasible, efficient multi-robot plans",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
LaMMA-P: Generalizable Multi-Agent Long-Horizon Task Allocation and Planning with LM-Driven PDDL Planner,2024,arXiv,http://arxiv.org/abs/2409.20560v2,LLM plus classical planning,"Language models (LMs) possess a strong capability to comprehend natural language, making them effective in translating human instructions into detailed plans for simple robot tasks",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
On the Limit of Language Models as Planning Formalizers,2024,arXiv,http://arxiv.org/abs/2412.09879v4,LLM plus classical planning,Large Language Models have been found to create plans that are neither executable nor verifiable in grounded environments,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
EmboTeam: Grounding LLM Reasoning into Reactive Behavior Trees via PDDL for Embodied Multi-Robot Collaboration,2026,arXiv,http://arxiv.org/abs/2601.11063v2,LLM plus classical planning,"In embodied artificial intelligence, enabling heterogeneous robot teams to execute long-horizon tasks from high-level instructions remains a critical challenge",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
A Framework for Neurosymbolic Robot Action Planning using Large Language Models,2023,arXiv,http://arxiv.org/abs/2303.00438v3,LLM plus classical planning,Symbolic task planning is a widely used approach to enforce robot autonomy due to its ease of understanding and deployment in robot architectures,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
TwoStep: Multi-agent Task Planning using Classical Planners and Large Language Models,2024,arXiv,http://arxiv.org/abs/2403.17246v2,LLM plus classical planning,Classical planning formulations like the Planning Domain Definition Language (PDDL) admit action sequences guaranteed to achieve a goal state given an initial state if any are possible,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Generating Symbolic World Models via Test-time Scaling of Large Language Models,2025,arXiv,http://arxiv.org/abs/2502.04728v2,LLM plus classical planning,"Solving complex planning problems requires Large Language Models (LLMs) to explicitly model the state transition to avoid rule violations, comply with constraints, and ensure optimality-a task hindered by the i",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Using Large Language Models for Abstraction of Planning Domains - Extended Version,2025,arXiv,http://arxiv.org/abs/2510.20258v1,LLM plus classical planning,"Generating an abstraction of a dynamic domain that aligns with a given purpose remains a significant challenge given that the choice of such an abstraction can impact an agent's ability to plan, reason, and pro",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
"Vision Language Models Cannot Plan, but Can They Formalize?",2025,arXiv,http://arxiv.org/abs/2509.21576v1,LLM plus classical planning,"The advancement of vision language models (VLMs) has empowered embodied agents to accomplish simple multimodal planning tasks, but not long-horizon ones requiring long sequences of actions",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Leveraging Pre-trained Large Language Models to Construct and Utilize World Models for Model-based Task Planning,2023,arXiv,http://arxiv.org/abs/2305.14909v2,LLM plus classical planning,There is a growing interest in applying pre-trained large language models (LLMs) to planning problems,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Using Large Language Models for Interpreting Autonomous Robots Behaviors,2023,arXiv,http://arxiv.org/abs/2304.14844v1,LLM plus classical planning,The deployment of autonomous robots in various domains has raised significant concerns about their trustworthiness and accountability,4,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Query-Efficient Planning with Language Models,2024,arXiv,http://arxiv.org/abs/2412.06162v1,LLM plus classical planning,Planning in complex environments requires an agent to efficiently query a world model to find a feasible sequence of actions from start to goal,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Grammar Prompting for Domain-Specific Language Generation with Large Language Models,2023,arXiv,http://arxiv.org/abs/2305.19234v3,LLM plus classical planning,Large language models (LLMs) can learn to perform a wide range of natural language tasks from just a handful of in-context examples,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
DKPROMPT: Domain Knowledge Prompting Vision-Language Models for Open-World Planning,2024,arXiv,http://arxiv.org/abs/2406.17659v1,LLM plus classical planning,"Vision-language models (VLMs) have been applied to robot task planning problems, where the robot receives a task in natural language and generates plans based on visual inputs",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
RePrompt: Planning by Automatic Prompt Engineering for Large Language Models Agents,2024,arXiv,http://arxiv.org/abs/2406.11132v2,LLM plus classical planning,"In the past year, large language models (LLMs) have had remarkable success in domains outside the traditional natural language processing, and their capacity is further expanded into the so-called LLM agents wh",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Leveraging Pre-trained Large Language Models with Refined Prompting for Online Task and Motion Planning,2025,arXiv,http://arxiv.org/abs/2504.21596v1,LLM plus classical planning,"With the rapid advancement of artificial intelligence, there is an increasing demand for intelligent robots capable of assisting humans in daily tasks and performing complex operations",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Zero-Shot Goal Recognition with Large Language Models,2026,arXiv,http://arxiv.org/abs/2605.15333v1,LLM plus classical planning,"Large language models have recently reached near-parity with classical planners on well-known planning domains, yet this competence relies on world-knowledge exploitation rather than genuine symbolic reasoning",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Consolidating Trees of Robotic Plans Generated Using Large Language Models to Improve Reliability,2024,arXiv,http://arxiv.org/abs/2401.07868v1,LLM plus classical planning,"The inherent probabilistic nature of Large Language Models (LLMs) introduces an element of unpredictability, raising concerns about potential discrepancies in their output",5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Planetarium: A Rigorous Benchmark for Translating Text to Structured Planning Languages,2024,arXiv,http://arxiv.org/abs/2407.03321v2,LLM plus classical planning,Recent works have explored using language models for planning problems,5,high,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
VeriPlan: Integrating Formal Verification and LLMs into End-User Planning,2025,arXiv,http://arxiv.org/abs/2502.17898v1,LLM agents and tool use,"Automated planning is traditionally the domain of experts, utilized in fields like manufacturing and healthcare with the aid of expert planning tools",5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
PerceptTwin: Semantic Scene Reconstruction for Iterative LLM Planning and Verification,2026,arXiv,http://arxiv.org/abs/2606.04226v1,language-conditioned robotics,Simulation environments are useful for both robot policy learning and planning verification and validation,5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
Plan Verification for LLM-Based Embodied Task Completion Agents,2025,arXiv,http://arxiv.org/abs/2509.02761v4,language-conditioned robotics,"Large language model (LLM) based task plans and corresponding human demonstrations for embodied AI may be noisy, with unnecessary actions, redundant navigation, and logical errors that reduce policy quality",5,medium,"Relevant to the landscape, but it does not directly subsume the tested mechanism: finite-N selection concentrating symbolic-valid semantic loopholes under a separate executor."
